Calculated Recovery Date,Zip Code,Frequency
05/31/2020,45238,2
05/31/2020,45239,2
05/31/2020,45240,5
05/31/2020,45251,1
06/01/2020,45205,4
06/01/2020,45206,1
06/01/2020,45207,1
06/01/2020,45209,1
06/01/2020,45211,1
06/01/2020,45212,1
06/01/2020,45213,1
06/01/2020,45216,2
06/01/2020,45223,3
06/01/2020,45224,1
06/01/2020,45225,1
06/01/2020,45226,1
06/01/2020,45231,5
06/01/2020,45232,1
06/01/2020,45233,1
06/01/2020,45238,2
06/01/2020,45239,3
06/01/2020,45240,5
06/01/2020,45241,3
06/01/2020,45242,1
06/01/2020,45243,1
06/01/2020,45246,1
06/01/2020,45247,3
06/01/2020,45248,1
06/01/2020,45251,2
06/02/2020,45140,1
06/02/2020,45205,5
06/02/2020,45211,3
06/02/2020,45212,1
06/02/2020,45215,2
06/02/2020,45216,1
06/02/2020,45219,1
06/02/2020,45220,1
06/02/2020,45223,2
06/02/2020,45230,1
06/02/2020,45231,3
06/02/2020,45232,2
06/02/2020,45237,1
06/02/2020,45238,3
06/02/2020,45239,1
06/02/2020,45240,7
06/02/2020,45241,2
06/02/2020,45247,3
06/02/2020,45248,1
06/02/2020,45249,1
06/02/2020,45251,2
06/03/2020,45052,1
06/03/2020,45140,1
06/03/2020,45202,1
06/03/2020,45205,6
06/03/2020,45208,1
06/03/2020,45211,1
06/03/2020,45214,1
06/03/2020,45215,1
06/03/2020,45216,1
06/03/2020,45219,1
06/03/2020,45223,3
06/03/2020,45224,2
06/03/2020,45229,1
06/03/2020,45230,1
06/03/2020,45231,6
06/03/2020,45232,1
06/03/2020,45236,4
06/03/2020,45238,3
06/03/2020,45239,3
06/03/2020,45240,7
06/03/2020,45246,1
06/03/2020,45247,1
06/03/2020,45249,1
06/03/2020,45251,1
06/04/2020,,1
06/04/2020,45140,1
06/04/2020,45205,5
06/04/2020,45208,1
06/04/2020,45212,1
06/04/2020,45213,2
06/04/2020,45216,3
06/04/2020,45223,1
06/04/2020,45224,3
06/04/2020,45229,1
06/04/2020,45230,1
06/04/2020,45231,4
06/04/2020,45233,2
06/04/2020,45237,1
06/04/2020,45238,5
06/04/2020,45239,6
06/04/2020,45240,3
06/04/2020,45241,4
06/04/2020,45242,3
06/04/2020,45246,3
06/04/2020,45247,1
06/04/2020,45248,1
06/04/2020,45249,1
06/04/2020,45251,2
06/04/2020,45255,1
06/05/2020,44430,1
06/05/2020,45140,2
06/05/2020,45203,1
06/05/2020,45204,2
06/05/2020,45205,6
06/05/2020,45206,1
06/05/2020,45209,1
06/05/2020,45211,1
06/05/2020,45212,2
06/05/2020,45215,2
06/05/2020,45216,2
06/05/2020,45220,1
06/05/2020,45224,2
