"zip_code","time_frame","start_dt","end_dt","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.975.R."
45231,3,2021-03-30,2021-04-28,75,104,0.831790257261235,0.0356427934137014,0.75,0.878205128205128
45231,3,2021-03-31,2021-04-29,76,105,0.81793721827471,0.0356534728455968,0.743344155844156,0.87012987012987
45231,3,2021-04-01,2021-04-30,77,106,0.791153249924934,0.0339730836775835,0.718120805369127,0.838926174496644
45231,3,2021-04-02,2021-05-01,78,107,0.775917533667037,0.0345368283880637,0.705944055944056,0.828846153846154
45231,3,2021-04-03,2021-05-02,79,108,0.760840379184668,0.0371294292290765,0.668661971830986,0.823943661971831
45231,3,2021-04-04,2021-05-03,80,109,0.744391211266169,0.0356563386803769,0.666326530612245,0.802721088435374
45231,3,2021-04-05,2021-05-04,81,110,0.73821079950424,0.0355623798114286,0.657191780821918,0.794520547945205
45231,3,2021-04-06,2021-05-05,82,111,0.713810118787025,0.0350527476014278,0.642857142857143,0.764285714285714
45231,3,2021-04-07,2021-05-06,83,112,0.687585421247492,0.0359316692642816,0.597122302158273,0.748920863309352
45231,3,2021-04-08,2021-05-07,84,113,0.659583174856616,0.0366441714320048,0.581964285714286,0.732678571428571
45231,3,2021-04-09,2021-05-08,85,114,0.633723016013836,0.0362385646296457,0.562043795620438,0.701094890510949
45231,3,2021-04-10,2021-05-09,86,115,0.613250025899209,0.0320367961682415,0.54905303030303,0.670643939393939
45231,3,2021-04-11,2021-05-10,87,116,0.58526847634586,0.0314832717368169,0.533901515151515,0.640340909090909
45231,3,2021-04-12,2021-05-11,88,117,0.575478587248138,0.0307866112527965,0.515,0.638461538461538
45231,3,2021-04-13,2021-05-12,89,118,0.552243587076873,0.0327914386637759,0.495696721311475,0.61905737704918
45231,3,2021-04-14,2021-05-13,90,119,0.525977128542905,0.0349411300519948,0.467213114754098,0.602663934426229
45231,3,2021-04-15,2021-05-14,91,120,0.485239678752432,0.0338930710359057,0.43125,0.556451612903226
45231,3,2021-04-16,2021-05-15,92,121,0.462250642778763,0.036895707016595,0.398305084745763,0.546822033898305
45231,3,2021-04-17,2021-05-16,93,122,0.439825552643272,0.037089736694505,0.371681415929204,0.513716814159292
45229,1,2020-03-22,2020-04-20,3,32,1.8055584664042,0.163259448691281,1.49833333333333,2.13333333333333
45229,1,2020-03-23,2020-04-21,4,33,1.75358230455695,0.160631469942233,1.46666666666667,2.035
45229,1,2020-03-24,2020-04-22,5,34,1.71584168767579,0.145285768557882,1.4375,1.9375
45229,1,2020-03-25,2020-04-23,6,35,1.71584168767579,0.145285768557882,1.4375,1.9375
45229,1,2020-03-26,2020-04-24,7,36,1.56848130593631,0.128668878363744,1.33333333333333,1.83333333333333
45229,1,2020-03-27,2020-04-25,8,37,1.52633558398383,0.126094081524718,1.31578947368421,1.81710526315789
45229,1,2020-03-28,2020-04-26,9,38,1.41145615382188,0.101202181924004,1.20340909090909,1.66022727272727
45229,1,2020-03-29,2020-04-27,10,39,1.31957339085978,0.0917616587698916,1.179,1.52
45229,1,2020-03-30,2020-04-28,11,40,1.29269958725651,0.0929810650249327,1.13365384615385,1.48173076923077
45229,1,2020-03-31,2020-04-29,12,41,1.23784725251522,0.090901619440748,1.07692307692308,1.42307692307692
45229,1,2020-04-01,2020-04-30,13,42,1.21354564486301,0.0883784759565422,1.07407407407407,1.40740740740741
45229,1,2020-04-02,2020-05-01,14,43,1.16987615847301,0.0815981566408036,1.05086206896552,1.3448275862069
45229,1,2020-04-03,2020-05-02,15,44,1.13512522690165,0.0877347250699304,0.964285714285714,1.32142857142857
45229,1,2020-04-04,2020-05-03,16,45,1.11572934132608,0.0855783424600337,0.947413793103448,1.29396551724138
45229,1,2020-04-05,2020-05-04,17,46,1.09761155685057,0.0808734584016883,0.949166666666667,1.26666666666667
45229,1,2020-04-06,2020-05-05,18,47,1.09761155685057,0.0808734584016883,0.949166666666667,1.26666666666667
45229,1,2020-04-07,2020-05-06,19,48,1.05186917151806,0.0764547049299647,0.909090909090909,1.18181818181818
45229,1,2020-04-08,2020-05-07,20,49,1.01854505026376,0.0807916119680375,0.85859375,1.17265625
45229,1,2020-04-09,2020-05-08,21,50,0.973010930630183,0.0832243605678001,0.84375,1.15625
45229,1,2020-04-10,2020-05-09,22,51,0.93385938691233,0.084554325649623,0.789516129032258,1.09677419354839
45229,1,2020-04-11,2020-05-10,23,52,0.93385938691233,0.084554325649623,0.789516129032258,1.09677419354839
45229,1,2020-04-12,2020-05-11,24,53,0.887257946819549,0.0840147226689483,0.749166666666667,1.06666666666667
45229,1,2020-04-13,2020-05-12,25,54,0.887257946819549,0.0840147226689483,0.749166666666667,1.06666666666667
45229,1,2020-04-14,2020-05-13,26,55,0.88725243453664,0.0853197179564618,0.774193548387097,1.08145161290323
45229,1,2020-04-15,2020-05-14,27,56,0.889260341854945,0.0917672270384876,0.75,1.0953125
45229,1,2020-04-16,2020-05-15,28,57,0.889260341854945,0.0917672270384876,0.75,1.0953125
45229,1,2020-04-17,2020-05-16,29,58,0.895998615724027,0.0886103616904007,0.787878787878788,1.09242424242424
45229,1,2020-04-18,2020-05-17,30,59,0.857920151515514,0.0966384779628684,0.71875,1.04765625
45229,1,2020-04-19,2020-05-18,31,60,0.857920151515514,0.0966384779628684,0.71875,1.04765625
45229,1,2020-04-20,2020-05-19,32,61,0.857920151515514,0.0966384779628684,0.71875,1.04765625
45229,1,2020-04-21,2020-05-20,33,62,0.773273842489782,0.121182188597463,0.573148148148148,1
45229,1,2020-04-22,2020-05-21,34,63,0.754700409706306,0.121303141816081,0.538461538461538,0.981730769230769
45229,1,2020-04-23,2020-05-22,35,64,0.738899128716219,0.118383728065588,0.539,0.981
